שנת לימודים,שם מחוז,שם רשות,סמל מוסד,שם מוסד,חמשון טיפוח,סטטוס מוסד,סוג חינוך מוסד,שלבי חינוך במוסד,מגזר,סוג פיקוח,מעמד משפטי, שעות הוראה,עלות  שעות הוראה,שעות פרטניות, שעות שהיה,שעות הדרכה,עלות תיקצוב שעות הדרכה,שעות איחוד משכורת , עלות תיקצוב שעות איחוד משכורת ,"שעות בודדות -חנ""מ - חופשות","עלות שעות בודדות -חנ""מ - חופשות","שכ""ל",גני ילדים,שירותי היקף,תקציב הסעות ,פרויקטים והעברות לרשויות מקומיות ובעלויות,שעות רשת חינוך עצמאי ומעיין חינוך תורני , עלות שעות רשת חינוך עצמאי ומעיין חינוך תורני ,שעות מוסדות פטור,עלות שעות מוסדות פטור,שירותי עזר - מוסדות פטור,מספר תלמידים בפועל חינוך רגיל,מספר תלמידים בפועל חינוך מיוחד, מס' כיתות  חינוך רגיל, מס' כיתות  חינוך מיוחד,"סה""כ תקציב שכר ותשלומים",הערות
תשעו,דרום,שפיר,611319,"ב""י קוממיות",בינוני - חזק,פעיל,רגיל,יסודי בלבד,יהודי,חרדי,מוכר,0,0,0,0,0,0,0,0,0,0,0,0,"192,571",0,"21,249",239,"1,466,719",0,0,0,116,0,4.5,0.0,"1,680,540", 
תשעו,דרום,שפיר,620146,אפיקים בנגב, ,פעיל,מיוחד,יסודי ועליונה,יהודי,חרדי,מוכר,0,0,0,0,0,0,0,0,0,0,0,0,"204,373",0,"1,304,797",0,0,0,0,0,0,41,0.0,4.0,"1,509,169", 
תשעו,דרום,שפיר,640185,ישיבת אור עציון,בינוני,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי דתי,רשמי,327,"2,824,401",39,81,0,0,17,"109,210",0,0,"6,220,495",0,"534,504","51,538","403,733",0,0,0,0,0,326,0,13.0,0.0,"10,143,881", 
תשעו,דרום,שפיר,640532,אולפנת אבן שמואל,בינוני,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי דתי,רשמי,388,"3,424,411",62,126,0,0,244,"1,615,777",0,0,"8,143,733",0,"673,138","35,539","653,614",0,0,0,0,0,488,0,17.0,0.0,"14,546,211", 
תשעו,דרום,שפיר,660209,חזון בית יעקב,בינוני,פעיל,רגיל,עליונה בלבד,יהודי,חרדי,מוכר,0,0,0,0,0,0,0,0,0,0,"1,071,628",0,505,"17,749","64,478",0,0,0,0,0,92,0,4.0,0.0,"1,154,360", 
תשעו,דרום,שפיר,680082,"חט""ב דתי שפיר",בינוני - חזק,פעיל,רגיל,"חט""ב בלבד",יהודי,ממלכתי דתי,רשמי,272,"2,431,600",42,82,0,0,0,0,0,0,0,0,"243,378",0,"112,809",0,0,0,0,0,119,0,4.0,0.0,"2,787,787", 
תשעו,דרום,שער הנגב,610493,שער הנגב,בינוני,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי,רשמי,"1,344","10,614,868",243,235,0,0,0,0,0,0,0,0,"1,077,298",0,"456,001",0,0,0,0,0,773,26,25.0,2.0,"12,148,167", 
תשעו,דרום,שער הנגב,660126,מקיף שער הנגב,בינוני,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי,רשמי,"1,148","9,862,145",189,388,0,0,496,"3,282,371",0,0,"16,576,566",0,"1,437,559","90,236","1,130,242",0,0,0,0,0,"1,196",70,43.0,6.0,"32,379,119", 
תשעו,דרום,שדרות,611160,שקמים,חלש - בינוני,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי,רשמי,629,"4,939,551",99,103,0,0,0,0,0,0,0,0,"418,657",0,"515,246",0,0,0,0,0,265,8,11.0,1.0,"5,873,454", 
תשעו,דרום,שדרות,611178,הרואה,חלש,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי דתי,רשמי,489,"3,888,761",90,89,0,0,0,0,158,"22,186",0,0,"371,451",0,"436,557",0,0,0,0,0,182,6,8.0,1.0,"4,718,955", 
